num	Точка сбора	Высота генеративного побега	Длина первого листа	Ширина первого листа	Длина второго листа	Ширина второго листа	Длина внешнего околоцветника	Ширина внешнего околоцветника	Длина внутреннего околоцветника	Ширина внутреннего околоцветника	Высота тычинки	Высота пестика
27	И	12.300	14.000	1.100	12.300	0.900	2.400	0.700	2.347	0.948	1.300	1.352
28	И	9.200	11.300	1.000	10.500	0.800	2.000	0.500	1.934	0.669	1.300	1.056
29	И	6.000	10.300	1.300	10.000	0.700	2.000	0.400	1.866	0.498	1.200	0.950
30	И	12.300	12.500	1.000	12.000	0.700	2.400	0.500	2.264	0.652	1.300	1.246
31	Л	4.000	11.200	1.300	10.500	0.800	2.000	0.400	1.866	0.446	1.200	0.500
32	Л	12.500	13.000	1.100	11.800	0.700	3.000	0.724	2.949	1.138	1.600	1.638
33	Л	8.000	15.000	1.500	14.500	0.900	2.500	0.600	2.400	0.400	1.600	1.100
34	Л	15.000	18.500	1.900	17.000	1.100	3.000	1.000	2.900	1.000	1.600	1.400
35	Л	6.800	11.000	1.100	10.700	0.700	2.200	0.600	2.050	0.821	0.800	1.200
36	Л	5.500	10.500	1.100	9.500	0.700	2.200	0.600	2.400	0.893	1.200	1.232
37	Л	5.500	10.400	0.900	9.000	0.600	2.000	0.600	2.000	0.862	1.200	1.069
38	Л	5.400	11.000	1.000	10.500	0.600	2.500	0.600	2.386	0.852	1.400	1.114
39	Л	6.000	11.000	1.200	9.500	0.700	2.500	0.600	2.400	0.759	1.500	1.100
40	Л	6.300	11.000	0.900	9.800	0.600	2.000	0.500	1.900	0.691	1.400	1.029
41	Л	4.000	9.000	1.100	8.000	0.600	2.000	0.500	1.940	0.673	1.100	1.044
42	Л	4.000	10.500	1.000	9.000	0.500	1.800	0.500	1.858	0.743	1.500	0.857
43	Л	7.500	14.000	1.200	11.000	0.700	2.500	0.700	2.600	0.900	1.500	1.200
44	Л	5.500	10.300	1.100	9.000	0.800	2.100	0.600	2.000	0.800	1.500	1.200
